"VISAE06","id","eventname","component","ACTION","target","objecttable","objectid","crud","edulevel","contextid","contextlevel","contextinstanceid","userid","courseid","relateduserid","anonymous","timecreated","origin","ip","realuserid"
"ECACEN21","4498605","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","66","r","2","668","70","406","512812","119","\N","0","1539113781","web","190.29.114.169","\N"
"ECACEN21","4498826","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539113929","web","190.29.114.169","\N"
"ECACEN21","4498831","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539113931","web","190.29.114.169","\N"
"ECACEN21","4501634","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539116073","web","190.29.114.169","\N"
"ECACEN21","4501636","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539116074","web","190.29.114.169","\N"
"ECACEN21","4501648","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539116078","web","190.29.114.169","\N"
"ECACEN21","4501658","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539116086","web","190.29.114.169","\N"
"ECACEN21","4502123","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539116472","web","190.29.114.169","\N"
"ECACEN21","4502126","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539116472","web","190.29.114.169","\N"
"ECACEN21","4502136","\\gradereport_user\\event\\grade_report_viewed","gradereport_user","viewed","grade_report","\N","\N","r","2","155","50","119","512812","119","512812","0","1539116478","web","190.29.114.169","\N"
"ECACEN21","4765518","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539402315","web","181.135.96.79","\N"
"ECACEN21","4765520","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539402316","web","181.135.96.79","\N"
"ECACEN21","4765534","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539402326","web","181.135.96.79","\N"
"ECACEN21","4765535","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539402328","web","181.135.96.79","\N"
"ECACEN21","4801372","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539463922","web","181.135.96.79","\N"
"ECACEN21","4801373","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539463923","web","181.135.96.79","\N"
"ECACEN21","4801399","\\mod_page\\event\\course_module_viewed","mod_page","viewed","course_module","page","39","r","2","646","70","384","512812","119","\N","0","1539463939","web","181.135.96.79","\N"
"ECACEN21","4801435","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","60","r","2","657","70","395","512812","119","\N","0","1539463963","web","181.135.96.79","\N"
"ECACEN21","4801465","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539463995","web","181.135.96.79","\N"
"ECACEN21","4801470","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539463998","web","181.135.96.79","\N"
"ECACEN21","4801634","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","66","r","2","668","70","406","512812","119","\N","0","1539464122","web","181.135.96.79","\N"
"ECACEN21","4801683","\\gradereport_user\\event\\grade_report_viewed","gradereport_user","viewed","grade_report","\N","\N","r","2","155","50","119","512812","119","512812","0","1539464181","web","181.135.96.79","\N"
"ECACEN21","4801697","\\mod_page\\event\\course_module_viewed","mod_page","viewed","course_module","page","39","r","2","646","70","384","512812","119","\N","0","1539464207","web","181.135.96.79","\N"
"ECACEN21","4801758","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","61","r","2","659","70","397","512812","119","\N","0","1539464281","web","181.135.96.79","\N"
"ECACEN21","4802583","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539465034","web","181.135.96.79","\N"
"ECACEN21","4802584","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539465034","web","181.135.96.79","\N"
"ECACEN21","4802588","\\mod_folder\\event\\course_module_viewed","mod_folder","viewed","course_module","folder","60","r","2","657","70","395","512812","119","\N","0","1539465043","web","181.135.96.79","\N"
"ECACEN21","4802593","\\core\\event\\course_viewed","core","viewed","course","\N","\N","r","2","155","50","119","512812","119","\N","0","1539465047","web","181.135.96.79","\N"
"ECACEN21","4802608","\\mod_forum\\event\\course_module_viewed","mod_forum","viewed","course_module","forum","67","r","2","658","70","396","512812","119","\N","0","1539465053","web","181.135.96.79","\N"
"ECACEN21","4802610","\\mod_forum\\event\\discussion_viewed","mod_forum","viewed","discussion","forum_discussions","11882","r","2","658","70","396","512812","119","\N","0","1539465056","web","181.135.96.79","\N"
"ECACEN21","4802725","\\core\\event\\user_loggedin","core","loggedin","user","user","512812","r","0","1","10","0","512812","0","\N","0","1539465161","web","181.135.96.79","\N"
